grid_id,district,elevation_mean,slope_mean,builtup_percent,vegetation_percent,water_percent,cropland_percent,bare_percent,elevation_susceptibility,slope_susceptibility,builtup_susceptibility,bare_susceptibility,vegetation_protection,susceptibility_raw,susceptibility_score,susceptibility_category,dominant_driver,latitude,longitude,historical_flooded_area_percent,historical_mean_flood_duration,population,historical_flood_days_2015_2023,vulnerability_score,date,rainfall_24h,rainfall_3day,rainfall_7day,temporal_risk_score,flood_event,temporal_risk_index,hyperlocal_risk_score,hyperlocal_risk_category,action_priority,risk_explanation
NCR_0286,SONIPAT,223.2635244663645,1.15036158626144,24.24219744031135,13.10530648903525,3.135992814909064,58.70069605568445,0.8158072000598757,0.7248992816227848,0.2509646547273617,0.2424219744031135,0.0081580720005987,0.1310530648903525,0.387633600290147,46.98123080643752,Moderate,Lower elevation,29.076917975057157,76.63145778447415,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,21.710046167916786,Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0287,SONIPAT,223.33803638627728,0.7797914373260848,0.0149880095923261,6.602218225419665,0.0,93.382793764988,0.0,0.7243995342333998,0.1474160873812288,0.0001498800959232,0.0,0.0660221822541966,0.3053149726039015,35.914526091977805,Low,Lower elevation,29.085940160932434,76.6315999778268,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,17.283364282132894,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0288,SONIPAT,224.348597550694,1.114297730276432,26.089565673992947,13.847423299077338,2.0478583752156627,56.64991373490361,1.3652389168104415,0.7176217555327253,0.2408873167902568,0.2608956567399295,0.0136523891681044,0.1384742329907733,0.3882856929129354,47.06889646250728,Moderate,Lower elevation,29.09496233403223,76.63174223622883,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,21.74511243034469,Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0289,SONIPAT,223.41564628130564,0.6952031592589095,6.490006737031215,6.84182947825436,0.2919380193128228,85.41058462459765,0.9656411408039524,0.7238790088936115,0.1237795504575267,0.0649000673703121,0.0096564114080395,0.0684182947825436,0.3212295474293148,38.05404062470673,Low,Lower elevation,29.103984494353856,76.6318845597042,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,18.139170095224465,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0290,SONIPAT,223.2966413851695,0.5991596115276,1.084842136764926,5.850665868621877,0.0,91.8599431393087,1.204548855304504,0.7246771682517075,0.0969420628752446,0.0108484213676492,0.012045488553045,0.0585066586862187,0.3024183117012948,35.52510644580428,Low,Lower elevation,29.11300664189462,76.6320269482769,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,17.127596423663487,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0291,SONIPAT,222.7495759298357,0.6845761816613435,0.0,4.297607440186005,0.8850221255531387,94.75736893422336,0.0600015000375009,0.7283463064707447,0.1208100497877915,0.0,0.000600015000375,0.04297607440186,0.3051924233662993,35.89805088747495,Low,Lower elevation,29.122028776651824,76.63216940197088,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,17.276774200331754,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0292,SONIPAT,222.85085408368448,0.7697548022552386,0.0,9.952038369304557,0.0,90.04796163069544,0.0,0.7276670394078787,0.144611546363697,0.0,0.0,0.0995203836930455,0.3028065093484014,35.577294739658626,Low,Lower elevation,29.131050898622767,76.6323119208102,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,17.148471741205224,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0293,SONIPAT,223.31227906470204,0.6262459222373424,0.1271408271632637,2.4081968439159374,0.0,97.33752150175754,0.1271408271632637,0.7245722871866165,0.1045108016868949,0.0012714082716326,0.0012714082716326,0.0240819684391593,0.3035423311788364,35.676216735186955,Low,Lower elevation,29.140073007804784,76.63245450481881,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,17.188040539416555,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0294,SONIPAT,223.30467260052308,0.501332204122048,0.0,0.4266467065868263,0.0,99.51347305389224,0.059880239520958,0.7246233033276626,0.0696061106590868,0.0,0.0005988023952095,0.0042664670658682,0.2998935313431017,35.18568146414051,Low,Lower elevation,29.149095104195176,76.6325971540208,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.991826430997975,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0295,SONIPAT,223.7890910967235,0.5355525810944164,0.0,1.1919934028038084,0.0,98.8080065971962,0.0,0.7213743348521571,0.0791683245063535,0.0,0.0,0.011919934028038,0.2992329892140121,35.0968798781622,Low,Lower elevation,29.15811718779123,76.63273986844017,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.956305796606653,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
